2023-04-25 14:05:41.785 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:05:41.870 [main] INFO  top.flobby.SpringBootServerApplication - Starting SpringBootServerApplication using Java 17.0.1 with PID 143476 (E:\java-projects\backend-learning\admin-api-template\api-server\target\classes started by Flobby in E:\java-projects\backend-learning\admin-api-template)
2023-04-25 14:05:41.875 [main] INFO  top.flobby.SpringBootServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:05:43.153 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:05:43.157 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:05:43.210 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 0 Redis repository interfaces.
2023-04-25 14:05:44.316 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:05:44.329 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:05:44.330 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:05:44.331 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-04-25 14:05:44.494 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:05:44.495 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2536 ms
2023-04-25 14:05:47.485 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5d6d424d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@391b01c5, org.springframework.security.web.context.SecurityContextHolderFilter@1e32037d, org.springframework.security.web.header.HeaderWriterFilter@c89e263, org.springframework.security.web.authentication.logout.LogoutFilter@43df1377, top.flobby.security.filter.AuthenticationTokenFilter@2109a691, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5b1420f9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@434ee422, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6e78177b, org.springframework.security.web.session.SessionManagementFilter@54d35ed5, org.springframework.security.web.access.ExceptionTranslationFilter@c1386b4, org.springframework.security.web.access.intercept.AuthorizationFilter@4d8522ff]
2023-04-25 14:05:47.908 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:05:47.935 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:05:47.945 [main] INFO  top.flobby.SpringBootServerApplication - Started SpringBootServerApplication in 6.701 seconds (process running for 7.798)
2023-04-25 14:06:05.964 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 14:06:05.964 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 14:06:05.966 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-04-25 14:06:07.124 [http-nio-8080-exec-15] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 366 ms
2023-04-25 14:06:15.160 [http-nio-8080-exec-11] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-25 14:06:15.493 [http-nio-8080-exec-11] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@7514909b
2023-04-25 14:06:15.493 [http-nio-8080-exec-11] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-25 14:09:49.306 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-25 14:09:49.311 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
